,ADDRESS,BUSINESS_NAME,BUSINESS_YELP_URL,CITY,COUNTRY,LAT,LON,YELP_BIZ_ID
3,"Alameda, CA 94611 United States",Health Facil,http://www.yelp.com/biz/health-facil-oakland,Oakland,United States,37.8471,-122.2223,health-facil-oakland
21,"Nassau, FL 32034 United States",BuyGO,https://www.yelp.com/biz/buygo-fernandina-beach,Fernandina Beach,United States,30.6078,-81.6829,buygo-fernandina-beach
22,"Allegheny, PA 15101 United States",Hampton Holistic Center,http://www.yelp.com/biz/hampton-holistic-center-hampton-township,Allison Park,United States,40.57,-79.9665,hampton-holistic-center-hampton-township
24,"Columbia, GA 30813 United States","Alchanis Technical Services, Inc.",https://www.yelp.com/biz/alchanis-tech-consulting-grovetown,Grovetown,United States,33.4766,-82.2409,alchanis-tech-consulting-grovetown
38,"Knox, OH 43050 United States",Build a Biscuit,https://www.yelp.com/biz/build-a-biscuit-mount-vernon,Mount Vernon,United States,40.3849,-82.4873,build-a-biscuit-mount-vernon
54,"King, WA 98031 United States",Naija foods,https://www.yelp.com/biz/naija-buka-seattle,Kent,United States,47.388,-122.1932,naija-buka-seattle
58,"Jackson, OR 97540 United States",TonTon's Artisan Affections,https://www.yelp.com/biz/tontons-artisan-affections-talent,Talent,United States,42.2363,-122.7861,tontons-artisan-affections-talent
63,"Cook, IL 60805 United States","Empire Property Management Solutions, Corp",https://www.yelp.com/biz/empire-property-management-solutions-evergreen-park,Evergreen Park,United States,41.722,-87.7024,empire-property-management-solutions-evergreen-park
70,"Alameda, CA 94610 United States",All Out Comedy Theater,https://www.yelp.com/biz/all-out-comedy-theater-oakland-3,Oakland,United States,37.8126,-122.2443,all-out-comedy-theater-oakland-3
106,"Jefferson, WI 53594 United States",Ayalas Market,https://www.yelp.com/biz/ayalas-market-waterloo,Waterloo,United States,43.1832,-88.9838,ayalas-market-waterloo
109,"Allegheny, PA 15212 United States",Stuart Day Guitars ,https://www.yelp.com/biz/stuart-day-guitars-pittsburgh,Pittsburgh,United States,40.4282,-80.075,stuart-day-guitars-pittsburgh
126,"Merced, CA 95340 United States",COFFEE BANDITS,https://www.yelp.com/biz/coffee-bandits-merced,Merced,United States,37.2983,-120.4649,coffee-bandits-merced
138,"Bronx, NY 10451 United States",Your Kick Fitness,https://www.yelp.com/biz/mckay-strength-bronx,Bronx,United States,40.8222,-73.9217,mckay-strength-bronx
149,"New York, NY 10163 United States",Revolution Rickshaws,https://www.yelp.com/biz/revolution-rickshaws-new-york,New York City,United States,40.7808,-73.9772,revolution-rickshaws-new-york
150,"Cook, IL 60640 United States",Kru Strength + Fitness,http://www.yelp.com/biz/kru-strength-fitness-chicago-2,Chicago,United States,41.9719,-87.6624,kru-strength-fitness-chicago-2
169,"New York, NY 10009 United States",Finslide a brand of Transparency Financial Technology Corp.,http://www.yelp.com/biz/finslide-new-york,Manhattan,United States,40.7262,-73.9796,finslide-new-york
171,"Queens, NY 11412 United States",Nomad Cycle,http://www.yelp.com/biz/nomad-cycle-long-island-city,Queens,United States,40.6958,-73.7617,nomad-cycle-long-island-city
174,"Queens, NY 11101 United States",Nomad Cycle,http://www.yelp.com/biz/nomad-cycle-long-island-city,Queens,United States,40.7446,-73.9345,nomad-cycle-long-island-city
175,"Philadelphia, PA 19120 United States",Mr. Pizza,http://www.yelp.com/biz/mr-pizza-philadelphia,Philadelphia,United States,40.0343,-75.1213,mr-pizza-philadelphia
184,"Cook, IL 60626 United States","Bucktown Maid Service, LLC",https://www.yelp.com/biz/bucktown-maid-service-chicago-2,Chicago,United States,42.0095,-87.6689,bucktown-maid-service-chicago-2
194,"Santa Fe, NM 87501 United States","2 Birds Studio, Robin Parrott Photography",http://www.yelp.com/biz/2-birds-studio-robin-parrott-photography-santa-fe,Santa Fe,United States,35.6975,-105.9821,2-birds-studio-robin-parrott-photography-santa-fe
195,"Philadelphia, PA 19129 United States",Dobson Mills Valet Dry Cleaners,http://www.yelp.com/biz/dobson-mills-valet-dry-cleaners-philadelphia,Philadelphia,United States,40.0118,-75.1861,dobson-mills-valet-dry-cleaners-philadelphia
200,"Alameda, CA 94611 United States",Pink Light,http://www.yelp.com/biz/pink-light-healing-and-beauty-oakland,Oakland,United States,37.8471,-122.2223,pink-light-healing-and-beauty-oakland
204,"San Francisco, CA 94133 United States",Convoy,http://www.yelp.com/biz/convoy-san-francisco,San Francisco,United States,37.8002,-122.4091,convoy-san-francisco
205,"Wake, NC 27603 United States",Nail Yeah,http://www.yelp.com/biz/nail-yeah-raleigh,Raleigh,United States,35.7076,-78.6563,nail-yeah-raleigh
210,"Denver, CO 80206 United States","New World Cheese, LLC",http://www.yelp.com/biz/new-world-cheese-denver,Denver,United States,39.7331,-104.9524,new-world-cheese-denver
215,"Philadelphia, PA 19107 United States",Bubblefish,http://www.yelp.com/biz/bubblefish-philadelphia-2,Philadelphia,United States,39.9487,-75.1593,bubblefish-philadelphia-2
235,"San Francisco, CA 94124 United States",Special K Painting,https://www.yelp.com/biz/special-k-painting-oakland,San Francisco,United States,37.7309,-122.3886,special-k-painting-oakland
241,"Jefferson, KY 40203 United States",Sweet Peaches,http://www.yelp.com/biz/sweet-peaches-louisville,Louisville,United States,38.2493,-85.7694,sweet-peaches-louisville
249,"Poquoson (city), VA 23662 United States",SoftWash Pros L.L.C.,http://www.yelp.com/biz/softwash-pros-poquoson,Poquoson,United States,37.1313,-76.3807,softwash-pros-poquoson
252,"Santa Clara, CA 95127 United States",Hollis Cleaning Service,http://www.yelp.com/biz/hollis-cleaning-service-san-francisco,San Jose,United States,37.3692,-121.8208,hollis-cleaning-service-san-francisco
254,"Los Angeles, CA 91302 United States",Olive Alchemy,http://www.yelp.com/biz/olive-alchemy-calabasas,Calabasas,United States,34.1419,-118.6641,olive-alchemy-calabasas
262,"Alameda, CA 94621 United States",Outlaw Soaps,http://www.yelp.com/biz/outlaw-soaps-colfax,Oakland,United States,37.7589,-122.1853,outlaw-soaps-colfax
266,"Cook, IL 60660 United States",Degenerate Art Gallery,http://www.yelp.com/biz/degenerate-art-gallery-chicago,Chicago,United States,41.9909,-87.6629,degenerate-art-gallery-chicago
272,"Alameda, CA 94606 United States",Three Amigos Market,http://www.yelp.com/biz/three-amigos-market-oakland,Oakland,United States,37.7957,-122.2429,three-amigos-market-oakland
282,"Kings, NY 11221 United States",Central Salon,http://www.yelp.com/biz/central-salon-brooklyn,Brooklyn,United States,40.6907,-73.9274,central-salon-brooklyn
293,"Alameda, CA 94619 United States",Fist of Flour Pizza Company LLC,http://www.yelp.com/biz/fist-of-flour-pizza-company-doughjo-oakland-2,Oakland,United States,37.7878,-122.1884,fist-of-flour-pizza-company-doughjo-oakland-2
296,"Alameda, CA 94601 United States",the LOUNGERS CLUB,http://www.yelp.com/biz/loungers-club-oakland,Oakland,United States,37.7806,-122.2166,loungers-club-oakland
297,"Kings, NY 11216 United States",Beauty & Lashes By Jewel,https://www.yelp.com/biz/beauty-and-lashes-by-jewel-brooklyn-2,Brooklyn,United States,40.6794,-73.9496,beauty-and-lashes-by-jewel-brooklyn-2
301,"New York, NY 10030 United States",Ana Hair Design Studio,http://www.yelp.com/biz/anas-hair-design-studio-manhattan-2,Manhattan,United States,40.8183,-73.9426,anas-hair-design-studio-manhattan-2
303,"Kane, IL 60510 United States","Jordan's Moving Experts, Inc.",https://www.yelp.com/biz/jordans-moving-experts-batavia,Batavia,United States,41.8482,-88.3098,jordans-moving-experts-batavia
311,"San Francisco, CA 94102 United States",Emo's Place,http://www.yelp.com/biz/emos-cafe-san-francisco,San Francisco,United States,37.7813,-122.4167,emos-cafe-san-francisco
314,"Philadelphia, PA 19103 United States",stadler-Kahn,http://www.yelp.com/biz/stadler-kahn-philadelphia,Philadelphia,United States,39.9513,-75.1741,stadler-kahn-philadelphia
321,"San Francisco, CA 94102 United States",Tender Loving Foods,http://www.yelp.com/biz/tender-loving-food-san-francisco,San Francisco,United States,37.7813,-122.4167,tender-loving-food-san-francisco
323,"San Francisco, CA 94103 United States",Ritual Hot Yoga,http://www.yelp.com/biz/ritual-hot-yoga-san-francisco-4,San Francisco,United States,37.7725,-122.4147,ritual-hot-yoga-san-francisco-4
337,"Alameda, CA 94609 United States",Alchemy Massage and Movement Therapy,http://www.yelp.com/biz/alchemy-massage-and-movement-therapy-oakland-3,Oakland,United States,37.8361,-122.2637,alchemy-massage-and-movement-therapy-oakland-3
349,"San Francisco, CA 94111 United States",Chica,http://www.yelp.com/biz/chica-san-francisco-2,San Francisco,United States,37.7974,-122.4001,chica-san-francisco-2
370,"Philadelphia, PA 19132 United States","Expressway Grip, LLC",http://www.yelp.com/biz/expressway-grip-philadelphia-2,Philadelphia,United States,39.9954,-75.1698,expressway-grip-philadelphia-2
382,"Alameda, CA 94621 United States",City Hikes Dog Walking & Pet Sitting,http://www.yelp.com/biz/city-hikes-dog-walking-and-pet-sitting-hayward-2,Oakland,United States,37.7589,-122.1853,city-hikes-dog-walking-and-pet-sitting-hayward-2
413,"Anderson, TX 75801 United States",Tamed & Tailored,http://www.yelp.com/biz/tamed-and-tailored,Palestine,United States,31.7588,-95.6342,tamed-and-tailored
427,"Orleans, LA 70118 United States",From the Boat to You,https://www.yelp.com/biz/from-the-boat-to-you-new-orleans,New Orleans,United States,29.9504,-90.1236,from-the-boat-to-you-new-orleans
455,"Alameda, CA 94607 United States",B-Love's Guest House,https://www.yelp.com/biz/b-loves-guest-house-oakland,Oakland,United States,37.8071,-122.2851,b-loves-guest-house-oakland
467,"Oconee, SC 29693 United States",Little Japan Japanese Restaurant ,https://www.yelp.com/biz/little-japan-japanese-restaurant-westminster,Westminster,United States,34.6965,-83.1535,little-japan-japanese-restaurant-westminster
470,"Orange, CA 90630 United States",Amen Acai,https://www.yelp.com/biz/amen-acai-cypress,Cypress,United States,33.8181,-118.0357,amen-acai-cypress
475,"Monroe, NY 14605 United States",Gravitte's Soul Food Kitchen & Ribs,https://www.yelp.com/biz/gravittes-soul-food-kitchen-and-ribs-rochester,Rochester,United States,43.1698,-77.6007,gravittes-soul-food-kitchen-and-ribs-rochester
558,"San Francisco, CA 94103 United States",Gwiggles Daycare,https://www.yelp.com/biz/gwiggles-daycare-san-francisco,San Francisco,United States,37.7725,-122.4147,gwiggles-daycare-san-francisco
560,"Canyon, ID 83687 United States",Serenity Aquariums LLC,https://www.yelp.com/biz/serenity-aquariums-nampa,Nampa,United States,43.5937,-116.536,serenity-aquariums-nampa
587,"Alameda, CA 94546 United States",Bay Area Men's Health,https://www.yelp.com/biz/numbiya-aziz-mhs-cmt-san-jose-3,Castro Valley,United States,37.7015,-122.0782,numbiya-aziz-mhs-cmt-san-jose-3
604,"San Diego, CA 92009 United States",Organic Escape Skin Studio,https://www.yelp.com/biz/organic-escape-skin-studio-carlsbad-4,Carlsbad,United States,33.0954,-117.2619,organic-escape-skin-studio-carlsbad-4
607,"Cook, IL 60608 United States",Soul and Wellness,https://www.yelp.com/biz/soul-and-wellness-chicago-3,Chicago,United States,41.8515,-87.6694,soul-and-wellness-chicago-3
634,"Contra Costa, CA 94565 United States",iClean Express ,https://www.yelp.com/biz/iclean-express-pittsburg,Pittsburg,United States,38.0031,-121.9172,iclean-express-pittsburg
639,"Washington, AR 72701 United States",Zuppa Zuppa Soup Kitchen,https://www.yelp.com/biz/zuppa-zuppa-soup-kitchen-fayetteville,Fayetteville,United States,36.052,-94.1534,zuppa-zuppa-soup-kitchen-fayetteville
672,"Lee, FL 33907 United States",Snapshot Listings,https://www.yelp.com/biz/snapshot-listings-fort-myers,Fort Myers,United States,26.5681,-81.8736,snapshot-listings-fort-myers
697,"Alameda, CA 94546 United States",Bay Area Men's Health,https://www.yelp.com/biz/mens-health-specialist-san-jose,Castro Valley,United States,37.7015,-122.0782,mens-health-specialist-san-jose
700,"Santa Clara, CA 95032 United States","RawDaddy Foods, LLC",https://yelp.com/biz/rawdaddys-fun-cone-food-palo-alto,Los Gatos,United States,37.2417,-121.9554,rawdaddys-fun-cone-food-palo-alto
731,"Alameda, CA 94605 United States",Azteca Signs & Awnings,https://www.yelp.com/biz/azteca-signs-oakland,Oakland,United States,37.7641,-122.1633,azteca-signs-oakland
